ICD9,DESCRIPTION
2458,Other chronic thyroiditis
2459,Thyroiditis
2460,Hypersecretion of calcitonin
2461,Dyshormogenetic goiter
2462,Nontoxic single thyroid nodule
2463,Other specified disorders of thyroid
2468,Other specified disorders of thyroid
2469,Disorder of thyroid
24900,Diabetes mellitus due to underlying condition without complications
24901,Diabetes mellitus due to underlying condition with hyperglycemia
24910,Diabetes mellitus due to underlying condition with ketoacidosis without coma
24911,Diabetes mellitus due to underlying condition with ketoacidosis without coma
24911,Diabetes mellitus due to underlying condition with hyperglycemia
24920,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
24921,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
24921,Diabetes mellitus due to underlying condition with hyperglycemia
24930,Diabetes mellitus due to underlying condition with ketoacidosis with coma
24931,Diabetes mellitus due to underlying condition with ketoacidosis with coma
24931,Drug or chemical induced diabetes mellitus with hyperglycemia
24940,Diabetes mellitus due to underlying condition with diabetic nephropathy
24941,Diabetes mellitus due to underlying condition with diabetic nephropathy
24941,Diabetes mellitus due to underlying condition with hyperglycemia
24950,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
24951,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
24951,Diabetes mellitus due to underlying condition with hyperglycemia
24960,Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy
24961,Diabetes mellitus due to underlying condition with diabetic neuropathy
24961,Diabetes mellitus due to underlying condition with hyperglycemia
24970,Other specified diabetes mellitus with other circulatory complications
24971,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
24971,Diabetes mellitus due to underlying condition with hyperglycemia
24980,Diabetes mellitus due to underlying condition with diabetic dermatitis
24981,Diabetes mellitus due to underlying condition with other specified complication
24981,Diabetes mellitus due to underlying condition with hyperglycemia
24990,Other specified diabetes mellitus with unspecified complications
24991,Diabetes mellitus due to underlying condition with unspecified complications
24991,Diabetes mellitus due to underlying condition with hyperglycemia
25000,Type 2 diabetes mellitus without complications
25001,Type 1 diabetes mellitus without complications
25002,Type 2 diabetes mellitus with hyperglycemia
25003,Type 1 diabetes mellitus with hyperglycemia
25010,Type 2 diabetes mellitus with other specified complication
25011,Type 1 diabetes mellitus with ketoacidosis without coma
25012,Type 2 diabetes mellitus with other specified complication
25012,Type 2 diabetes mellitus with hyperglycemia
25013,Type 1 diabetes mellitus with ketoacidosis without coma
25013,Type 1 diabetes mellitus with hyperglycemia
25020,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
25021,Type 1 diabetes mellitus with other specified complication
25022,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
25022,Type 2 diabetes mellitus with hyperglycemia
25023,Type 1 diabetes mellitus with other specified complication
25023,Type 1 diabetes mellitus with hyperglycemia
25030,Type 2 diabetes mellitus with hypoglycemia with coma
25031,Type 1 diabetes mellitus with ketoacidosis with coma
25032,Type 2 diabetes mellitus with hyperosmolarity with coma
25032,Type 2 diabetes mellitus with hyperglycemia
25033,Type 1 diabetes mellitus with ketoacidosis with coma
25033,Type 1 diabetes mellitus with hyperglycemia
25040,Type 2 diabetes mellitus with other diabetic kidney complication
25041,Type 1 diabetes mellitus with other diabetic kidney complication
25042,Type 2 diabetes mellitus with diabetic nephropathy
25042,Type 2 diabetes mellitus with hyperglycemia
25043,Type 1 diabetes mellitus with diabetic nephropathy
25043,Type 1 diabetes mellitus with hyperglycemia
25050,Type 2 diabetes mellitus with other diabetic ophthalmic complication
25051,Type 1 diabetes mellitus with other diabetic ophthalmic complication
25052,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
25052,Type 2 diabetes mellitus with hyperglycemia
25053,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
25053,Type 1 diabetes mellitus with hyperglycemia
25060,Type 2 diabetes mellitus with diabetic neuropathy
25061,Type 1 diabetes mellitus with diabetic neuropathy
25062,Type 2 diabetes mellitus with diabetic neuropathy
25062,Type 2 diabetes mellitus with hyperglycemia
25063,Type 1 diabetes mellitus with diabetic neuropathy
25063,Type 1 diabetes mellitus with hyperglycemia
25070,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
25071,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
25072,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
25072,Type 2 diabetes mellitus with hyperglycemia
25073,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
25073,Type 1 diabetes mellitus with hyperglycemia
25080,Type 2 diabetes mellitus with diabetic dermatitis
25081,Type 1 diabetes mellitus with diabetic dermatitis
25082,Type 2 diabetes mellitus with other specified complication
25082,Type 2 diabetes mellitus with hyperglycemia
25083,Type 1 diabetes mellitus with other specified complication
25083,Type 1 diabetes mellitus with hyperglycemia
25090,Type 2 diabetes mellitus with unspecified complications
25091,Type 1 diabetes mellitus with unspecified complications
25092,Type 2 diabetes mellitus with unspecified complications
25092,Type 2 diabetes mellitus with hyperglycemia
25093,Type 1 diabetes mellitus with unspecified complications
25093,Type 1 diabetes mellitus with hyperglycemia
2510,Nondiabetic hypoglycemic coma
2511,Other hypoglycemia
2512,Hypoglycemia
2513,Postprocedural hypoinsulinemia
2514,Increased secretion of glucagon
2515,Increased secretion of gastrin
2518,Other specified disorders of pancreatic internal secretion
2519,Disorder of pancreatic internal secretion
25200,Hyperparathyroidism
25201,Primary hyperparathyroidism
25202,Secondary hyperparathyroidism
25208,Other hyperparathyroidism
2521,Hypoparathyroidism
2528,Other specified disorders of parathyroid gland
2529,Disorder of parathyroid gland
2530,Acromegaly and pituitary gigantism
2531,Hyperfunction of pituitary gland
2532,Hypopituitarism
2533,Hypopituitarism
2534,Other disorders of pituitary gland
2535,Diabetes insipidus
2536,Syndrome of inappropriate secretion of antidiuretic hormone
2537,Drug-induced hypopituitarism
2538,Other disorders of pituitary gland
2539,Disorder of pituitary gland
2540,Persistent hyperplasia of thymus
2541,Abscess of thymus
2548,Other diseases of thymus
2549,Disease of thymus
2550,Ectopic ACTH syndrome
25510,Hyperaldosteronism
25511,Glucocorticoid-remediable aldosteronism
25512,Conn's syndrome
25513,Bartter's syndrome
25514,Secondary hyperaldosteronism
2552,Other adrenogenital disorders
2553,Other adrenocortical overactivity
25541,Addisonian crisis
25542,Other adrenocortical insufficiency
2555,Other adrenocortical insufficiency
2556,Adrenomedullary hyperfunction
2558,Other specified disorders of adrenal gland
2559,Disorder of adrenal gland
2560,Estrogen excess
2561,Androgen excess
2562,Asymptomatic postprocedural ovarian failure
25631,Symptomatic premature menopause
25639,Other primary ovarian failure
2564,Polycystic ovarian syndrome
2568,Other ovarian dysfunction
2569,Ovarian dysfunction
2570,Testicular hyperfunction
2571,Postprocedural testicular hypofunction
2572,Testicular hypofunction
2578,Other testicular dysfunction
2579,Testicular dysfunction
25801,Multiple endocrine neoplasia [MEN] type I
25802,Multiple endocrine neoplasia [MEN] type IIA
25803,Multiple endocrine neoplasia [MEN] type IIB
2581,Autoimmune polyglandular failure
2588,Other polyglandular dysfunction
2589,Polyglandular dysfunction
2590,Delayed puberty
2591,Precocious puberty
2592,Carcinoid syndrome
2593,Ectopic hormone secretion
2594,Short stature due to endocrine disorder
25950,Androgen insensitivity syndrome
25951,Complete androgen insensitivity syndrome
25952,Partial androgen insensitivity syndrome
2598,Other specified endocrine disorders
2599,Endocrine disorder
260,Kwashiorkor
261,Nutritional marasmus
262,Unspecified severe protein-calorie malnutrition
2630,Moderate protein-calorie malnutrition
2631,Mild protein-calorie malnutrition
2632,Retarded development following protein-calorie malnutrition
2638,Unspecified protein-calorie malnutrition
2639,Unspecified protein-calorie malnutrition
2640,Vitamin A deficiency with conjunctival xerosis
2641,Vitamin A deficiency with Bitot's spot and conjunctival xerosis
2642,Vitamin A deficiency with corneal xerosis
2643,Vitamin A deficiency with corneal ulceration and xerosis
2644,Vitamin A deficiency with keratomalacia
2645,Vitamin A deficiency with night blindness
2646,Vitamin A deficiency with xerophthalmic scars of cornea
2647,Other ocular manifestations of vitamin A deficiency
2648,Other manifestations of vitamin A deficiency
2649,Vitamin A deficiency
2650,Dry beriberi
2651,Other manifestations of thiamine deficiency
2652,Niacin deficiency [pellagra]
2660,Riboflavin deficiency
2661,Pyridoxine deficiency
2662,Deficiency of other specified B group vitamins
2669,Vitamin B deficiency
267,Ascorbic acid deficiency
2680,Rickets
2681,Sequelae of rickets
2682,Adult osteomalacia
2689,Vitamin D deficiency
2690,Deficiency of vitamin K
2691,Deficiency of other vitamins
2692,Vitamin deficiency
2693,Chromium deficiency
2698,Other specified nutritional deficiencies
2699,Nutritional deficiency
2700,Disorders of amino-acid transport
2701,Classical phenylketonuria
2702,Tyrosinemia
2703,Maple-syrup-urine disease
2704,Disorders of sulfur-bearing amino-acid metabolism
2705,Disorders of histidine metabolism
2706,Disorder of urea cycle metabolism
2707,Other specified disorders of amino-acid metabolism
2708,Lowe's syndrome
2709,Disorder of amino-acid metabolism
2710,Glycogen storage disease
2711,Galactosemia
2712,Hereditary fructose intolerance
2713,Other disorders of intestinal carbohydrate absorption
2714,Other specified disorders of carbohydrate metabolism
2718,Disorders of pyruvate metabolism and gluconeogenesis
2719,Disorder of carbohydrate metabolism
2720,Pure hypercholesterolemia
2721,Pure hyperglyceridemia
2722,Mixed hyperlipidemia
2723,Hyperchylomicronemia
2724,Hyperlipidemia
2725,Lipoprotein deficiency
2726,Lipodystrophy
2727,Fabry (-Anderson) disease
2728,Other lipoprotein metabolism disorders
2729,Disorder of lipoprotein metabolism
2730,Polyclonal hypergammaglobulinemia
2731,Monoclonal gammopathy
2732,Cryoglobulinemia
2733,Waldenstrom macroglobulinemia
2734,Alpha-1-antitrypsin deficiency
2738,Other disorders of plasma-protein metabolism
2739,Other disorders of plasma-protein metabolism
27400,Idiopathic gout
27401,Idiopathic gout
27402,Chronic gout
27403,Idiopathic chronic gout
27410,Gout due to renal impairment
27411,Calculus of kidney
27419,Gout due to renal impairment
27481,Gout
27482,Gout
27489,Other secondary gout
2749,Gout
27501,Hereditary hemochromatosis
27502,Hemochromatosis due to repeated red blood cell transfusions
27503,Other hemochromatosis
27509,Disorder of iron metabolism
2751,Disorder of copper metabolism
2752,Disorders of magnesium metabolism
2753,Disorder of phosphorus metabolism
27540,Unspecified disorder of calcium metabolism
27541,Hypocalcemia
27542,Hypercalcemia
27549,Other disorders of calcium metabolism
2755,Hungry bone syndrome
2758,Other disorders of mineral metabolism
2759,Disorder of mineral metabolism
2760,Hyperosmolality and hypernatremia
2761,Hypo-osmolality and hyponatremia
2762,Acidosis
2763,Alkalosis
2764,Mixed disorder of acid-base balance
27650,Volume depletion
27651,Dehydration
27652,Hypovolemia
27661,Transfusion associated circulatory overload
27669,Fluid overload
2767,Hyperkalemia
2768,Hypokalemia
2769,Other disorders of electrolyte and fluid balance
27700,Cystic fibrosis
27701,Meconium ileus in cystic fibrosis
27702,Cystic fibrosis with pulmonary manifestations
27703,Cystic fibrosis with other intestinal manifestations
27709,Cystic fibrosis with other manifestations
2771,Hereditary erythropoietic porphyria
2772,Other disorders of purine and pyrimidine metabolism
27730,Amyloidosis
27731,Non-neuropathic heredofamilial amyloidosis
27739,Other amyloidosis
2774,Gilbert syndrome
2775,Hurler's syndrome
2776,Defects in the complement system
2777,Metabolic syndrome
27781,Primary carnitine deficiency
27782,Carnitine deficiency due to inborn errors of metabolism
27783,Iatrogenic carnitine deficiency
27784,Other secondary carnitine deficiency
27785,Other disorders of fatty-acid oxidation
27786,Peroxisomal disorder
27787,Mitochondrial metabolism disorder
27788,Tumor lysis syndrome
27789,Other specified metabolic disorders
2779,Metabolic disorder
27800,Obesity
27801,Morbid (severe) obesity due to excess calories
27802,Overweight
27803,Morbid (severe) obesity with alveolar hypoventilation
2781,Localized adiposity
2782,Hypervitaminosis A
2783,Hypercarotinemia
2784,Hypervitaminosis D
2788,Other specified hyperalimentation
27900,Nonfamilial hypogammaglobulinemia
27901,Selective deficiency of immunoglobulin A [IgA]
27902,Selective deficiency of immunoglobulin M [IgM]
27903,Selective deficiency of immunoglobulin G [IgG] subclasses
27904,Hereditary hypogammaglobulinemia
27905,Immunodeficiency with increased immunoglobulin M [IgM]
27906,Other common variable immunodeficiencies
27909,Transient hypogammaglobulinemia of infancy
27910,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
27911,Di George's syndrome
27912,Wiskott-Aldrich syndrome
27913,Nezelof's syndrome
27919,Other immunodeficiencies with predominantly antibody defects
2792,Other combined immunodeficiencies
2793,Immunodeficiency
27941,Autoimmune lymphoproliferative syndrome [ALPS]
27949,Other specified disorders involving the immune mechanism
27950,Graft-versus-host disease
27951,Acute graft-versus-host disease
27952,Chronic graft-versus-host disease
27953,Acute on chronic graft-versus-host disease
2798,Defects in the complement system
2799,Disorder involving the immune mechanism
2800,Iron deficiency anemia secondary to blood loss (chronic)
2801,Other iron deficiency anemias
2808,Sideropenic dysphagia
2809,Iron deficiency anemia
2810,Vitamin B12 deficiency anemia due to intrinsic factor deficiency
2811,Other dietary vitamin B12 deficiency anemia
2812,Dietary folate deficiency anemia
2813,Other megaloblastic anemias
2814,Protein deficiency anemia
2818,Scorbutic anemia
2819,Nutritional anemia
2820,Hereditary spherocytosis
2821,Hereditary elliptocytosis
2822,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
2823,Other anemias due to enzyme disorders
28240,Thalassemia
28241,Sickle-cell thalassemia without crisis
28242,Sickle-cell thalassemia with crisis
28243,Alpha thalassemia
28244,Beta thalassemia
28245,Delta-beta thalassemia
28246,Thalassemia minor
28247,Hemoglobin E-beta thalassemia
28249,Other thalassemias
2825,Sickle-cell trait
28260,Sickle-cell disease without crisis
28261,Sickle-cell disease without crisis
28262,Hb-SS disease with crisis
28263,Sickle-cell/Hb-C disease without crisis
28264,Sickle-cell/Hb-C disease with crisis
28268,Other sickle-cell disorders without crisis
28269,Other sickle-cell disorders with crisis
2827,Other hemoglobinopathies
2828,Other specified hereditary hemolytic anemias
2829,Hereditary hemolytic anemia
2830,Drug-induced autoimmune hemolytic anemia
28310,Other nonautoimmune hemolytic anemias
28311,Hemolytic-uremic syndrome
28319,Other nonautoimmune hemolytic anemias
2832,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
2839,Acquired hemolytic anemia
28401,Constitutional (pure) red blood cell aplasia
28409,Other constitutional aplastic anemia
28411,Antineoplastic chemotherapy induced pancytopenia
28412,Other drug-induced pancytopenia
28419,Other pancytopenia
2842,Myelophthisis
28481,Other acquired pure red cell aplasias
28489,Drug-induced aplastic anemia
2849,Aplastic anemia
2850,Hereditary sideroblastic anemia
2851,Acute posthemorrhagic anemia
28521,Anemia in chronic kidney disease
28522,Anemia in neoplastic disease
28529,Anemia in other chronic diseases classified elsewhere
2853,Anemia due to antineoplastic chemotherapy
2858,Congenital dyserythropoietic anemia
2859,Anemia
2860,Hereditary factor VIII deficiency
2861,Hereditary factor IX deficiency
2862,Hereditary factor XI deficiency
2863,Hereditary deficiency of other clotting factors
2864,Von Willebrand's disease
28652,Acquired hemophilia
28653,Antiphospholipid antibody with hemorrhagic disorder
28659,Other hemorrhagic disorder due to intrinsic circulating anticoagulants
2866,Disseminated intravascular coagulation [defibrination syndrome]
2867,Acquired coagulation factor deficiency
2869,Other specified coagulation defects
2870,Allergic purpura
2871,Qualitative platelet defects
2872,Other nonthrombocytopenic purpura
28730,Other primary thrombocytopenia
28731,Immune thrombocytopenic purpura
28732,Evans syndrome
28733,Congenital and hereditary thrombocytopenia purpura
28739,Other primary thrombocytopenia
28741,Posttransfusion purpura
28749,Other secondary thrombocytopenia
2875,Thrombocytopenia
2878,Other specified hemorrhagic conditions
2879,Hemorrhagic condition
28800,Neutropenia
28801,Congenital agranulocytosis
28802,Cyclic neutropenia
28803,Agranulocytosis secondary to cancer chemotherapy
28804,Neutropenia due to infection
28809,Other neutropenia
2881,Functional disorders of polymorphonuclear neutrophils
2882,Genetic anomalies of leukocytes
2883,Eosinophilia
2884,Hemophagocytic lymphohistiocytosis
28850,Decreased white blood cell count
28851,Lymphocytopenia
28859,Other decreased white blood cell count
28860,Elevated white blood cell count
28861,Lymphocytosis (symptomatic)
28862,Leukemoid reaction
28863,Monocytosis (symptomatic)
28864,Plasmacytosis
28865,Basophilia
28866,Bandemia
28869,Other elevated white blood cell count
2888,Other specified disorders of white blood cells
2889,Disorder of white blood cells
2890,Secondary polycythemia
2891,Chronic lymphadenitis
2892,Nonspecific mesenteric lymphadenitis
2893,Nonspecific lymphadenitis
2894,Hypersplenism
28950,Disease of spleen
28951,Chronic congestive splenomegaly
28952,Sickle-cell/Hb-C disease with splenic sequestration
28953,Neutropenic splenomegaly
28959,Abscess of spleen
2896,Familial erythrocytosis
2897,Other methemoglobinemias
28981,Activated protein C resistance
28982,Other thrombophilia
28983,Myelofibrosis
28984,Heparin induced thrombocytopenia (HIT)
28989,Other specified diseases of blood and blood-forming organs
2899,Disease of blood and blood-forming organs
2900,Unspecified dementia without behavioral disturbance
29010,Unspecified dementia without behavioral disturbance
29011,Unspecified dementia without behavioral disturbance
29012,Unspecified dementia without behavioral disturbance
29012,Delirium due to known physiological condition
29013,Unspecified dementia without behavioral disturbance
29020,Unspecified dementia without behavioral disturbance
29020,Delirium due to known physiological condition
29021,Unspecified dementia without behavioral disturbance
2903,Unspecified dementia without behavioral disturbance
2903,Delirium due to known physiological condition
29040,Vascular dementia without behavioral disturbance
29041,Vascular dementia with behavioral disturbance
29042,Vascular dementia with behavioral disturbance
29043,Vascular dementia with behavioral disturbance
2908,Unspecified dementia without behavioral disturbance
2909,Unspecified dementia without behavioral disturbance
2910,Alcohol dependence with withdrawal delirium
2911,Alcohol use
2912,Alcohol dependence with alcohol-induced persisting dementia
2913,Alcohol use
2914,Alcohol use
2915,Alcohol use
29181,Alcohol dependence with withdrawal
29182,Alcohol use
29189,Alcohol abuse with alcohol-induced psychotic disorder
2919,Alcohol use
2920,Other psychoactive substance use
29211,Other psychoactive substance use
29212,Other psychoactive substance use
2922,Other stimulant use
29281,Other psychoactive substance use
29282,Other psychoactive substance use
29283,Other psychoactive substance use
29284,Other psychoactive substance use
29285,Opioid abuse with opioid-induced sleep disorder
29289,Opioid abuse with opioid-induced psychotic disorder
2929,Other psychoactive substance use
2930,Delirium due to known physiological condition
2931,Delirium due to known physiological condition
29381,Psychotic disorder with delusions due to known physiological condition
29382,Psychotic disorder with hallucinations due to known physiological condition
29383,Mood disorder due to known physiological condition
29384,Anxiety disorder due to known physiological condition
29389,Catatonic disorder due to known physiological condition
2939,Other specified mental disorders due to known physiological condition
2940,Amnestic disorder due to known physiological condition
29410,Dementia in other diseases classified elsewhere without behavioral disturbance
29411,Dementia in other diseases classified elsewhere with behavioral disturbance
29420,Unspecified dementia without behavioral disturbance
29421,Unspecified dementia with behavioral disturbance
2948,Other specified mental disorders due to known physiological condition
2949,Other specified mental disorders due to known physiological condition
29500,Other schizophrenia
29501,Other schizophrenia
29502,Other schizophrenia
29503,Other schizophrenia
29504,Other schizophrenia
29505,Other schizophrenia
29510,Disorganized schizophrenia
29511,Disorganized schizophrenia
29512,Disorganized schizophrenia
29513,Disorganized schizophrenia
29514,Disorganized schizophrenia
29515,Disorganized schizophrenia
29520,Catatonic schizophrenia
29521,Catatonic schizophrenia
29522,Catatonic schizophrenia
29523,Catatonic schizophrenia
29524,Catatonic schizophrenia
29525,Catatonic schizophrenia
29530,Paranoid schizophrenia
29531,Paranoid schizophrenia
29532,Paranoid schizophrenia
29533,Paranoid schizophrenia
29534,Paranoid schizophrenia
29535,Paranoid schizophrenia
29540,Schizophreniform disorder
29541,Schizophreniform disorder
29542,Schizophreniform disorder
29543,Schizophreniform disorder
29544,Schizophreniform disorder
29545,Schizophreniform disorder
29550,Other schizophrenia
29551,Other schizophrenia
29552,Other schizophrenia
29553,Other schizophrenia
29554,Other schizophrenia
29555,Other schizophrenia
29560,Residual schizophrenia
29561,Residual schizophrenia
29562,Residual schizophrenia
29563,Residual schizophrenia
29564,Residual schizophrenia
29565,Residual schizophrenia
29570,Schizoaffective disorder
29571,Schizoaffective disorder
29572,Schizoaffective disorder
29573,Schizoaffective disorder
29574,Schizoaffective disorder
29575,Schizoaffective disorder
29580,Other schizophrenia
29581,Other schizophrenia
29582,Other schizophrenia
29583,Other schizophrenia
29584,Other schizophrenia
29585,Other schizophrenia
29590,Schizophrenia
29591,Schizophrenia
29592,Schizophrenia
29593,Schizophrenia
29594,Schizophrenia
29595,Schizophrenia
29600,Manic episode without psychotic symptoms
29601,Manic episode without psychotic symptoms
29602,Manic episode without psychotic symptoms
29603,Manic episode
29604,Manic episode
29605,Manic episode in partial remission
29606,Manic episode in full remission
29610,Manic episode without psychotic symptoms
29611,Manic episode without psychotic symptoms
29612,Manic episode without psychotic symptoms
29613,Manic episode
29614,Manic episode
29615,Manic episode in partial remission
29616,Manic episode in full remission
29620,Major depressive disorder
29621,Major depressive disorder
29622,Major depressive disorder
29623,Major depressive disorder
29624,Major depressive disorder
29625,Major depressive disorder
29626,Major depressive disorder
29630,Major depressive disorder
29631,Major depressive disorder
29632,Major depressive disorder
29633,Major depressive disorder
29634,Major depressive disorder
29635,Major depressive disorder
29636,Major depressive disorder
29640,Bipolar disorder
29641,Bipolar disorder
29642,Bipolar disorder
29643,Bipolar disorder
29644,Bipolar disorder
29645,Bipolar disorder
29646,Bipolar disorder
29650,Bipolar disorder
29651,Bipolar disorder
29652,Bipolar disorder
29653,Bipolar disorder
29654,Bipolar disorder
29655,Bipolar disorder
29656,Bipolar disorder
29660,Bipolar disorder
29661,Bipolar disorder
29662,Bipolar disorder
29663,Bipolar disorder
29664,Bipolar disorder
29665,Bipolar disorder
29666,Bipolar disorder
2967,Bipolar disorder
29680,Bipolar disorder
29681,Other manic episodes
29682,Other depressive episodes
29689,Bipolar II disorder
29690,Unspecified mood [affective] disorder
29699,Other persistent mood [affective] disorders
2970,Delusional disorders
2971,Delusional disorders
2972,Delusional disorders
2973,Shared psychotic disorder
2978,Delusional disorders
2979,Brief psychotic disorder
2980,Major depressive disorder
2981,Other psychotic disorder not due to a substance or known physiological condition
2982,Other dissociative and conversion disorders
2983,Brief psychotic disorder
2984,Brief psychotic disorder
2988,Brief psychotic disorder
2989,Unspecified psychosis not due to a substance or known physiological condition
29900,Autistic disorder
29901,Autistic disorder
29910,Other childhood disintegrative disorder
29911,Other childhood disintegrative disorder
29980,Other pervasive developmental disorders
29981,Other pervasive developmental disorders
29990,Pervasive developmental disorder
29991,Pervasive developmental disorder
30000,Anxiety disorder
30001,Panic disorder [episodic paroxysmal anxiety] without agoraphobia
30002,Generalized anxiety disorder
30009,Other specified anxiety disorders
30010,Dissociative and conversion disorder
30011,Conversion disorder with motor symptom or deficit
30012,Dissociative amnesia
30013,Dissociative fugue
30014,Dissociative identity disorder
30015,Dissociative and conversion disorder
30016,Factitious disorder with predominantly psychological signs and symptoms
30019,Other specified disorders of adult personality and behavior
30020,Phobic anxiety disorder
30021,Agoraphobia with panic disorder
30022,Agoraphobia without panic disorder
30023,Social phobia
30029,Other animal type phobia
3003,Obsessive-compulsive disorder
3004,Dysthymic disorder
3005,Other specified nonpsychotic mental disorders
3006,Depersonalization-derealization syndrome
3007,Hypochondriasis
30081,Somatization disorder
30082,Undifferentiated somatoform disorder
30089,Other somatoform disorders
3009,Nonpsychotic mental disorder
3010,Paranoid personality disorder
30110,Cyclothymic disorder
30111,Other specific personality disorders
30112,Dysthymic disorder
30113,Cyclothymic disorder
30120,Schizoid personality disorder
30121,Schizoid personality disorder
30122,Schizotypal disorder
3013,Borderline personality disorder
3014,Obsessive-compulsive personality disorder
30150,Histrionic personality disorder
30151,Factitious disorder with predominantly physical signs and symptoms
30159,Histrionic personality disorder
3016,Dependent personality disorder
3017,Antisocial personality disorder
30181,Narcissistic personality disorder
30182,Avoidant personality disorder
30183,Borderline personality disorder
30184,Other specific personality disorders
30189,Other specific personality disorders
3019,Personality disorder
3020,Other sexual disorders
3021,Other paraphilias
3022,Pedophilia
3023,Transvestic fetishism
3024,Exhibitionism
30250,Gender identity disorder in adolescence and adulthood
30251,Gender identity disorder in adolescence and adulthood
30252,Gender identity disorder in adolescence and adulthood
30253,Gender identity disorder in adolescence and adulthood
3026,Gender identity disorder of childhood
30270,Sexual dysfunction
30271,Hypoactive sexual desire disorder
30272,Male erectile disorder
30273,Female orgasmic disorder
30274,Male orgasmic disorder
30275,Premature ejaculation
30276,Dyspareunia not due to a substance or known physiological condition
30279,Sexual aversion disorder
30281,Fetishism
30282,Voyeurism
30283,Sexual masochism
30284,Sexual sadism
30285,Gender identity disorder in adolescence and adulthood
30289,Frotteurism
3029,Paraphilia
30300,Alcohol dependence with intoxication
30301,Alcohol dependence with intoxication
30302,Alcohol dependence with intoxication
30303,Alcohol dependence with intoxication
30390,Alcohol dependence
30391,Alcohol dependence
30392,Alcohol dependence
30393,Alcohol dependence
30400,Opioid dependence
30401,Opioid dependence
30402,Opioid dependence
30403,Opioid dependence
30410,Sedative
30411,Sedative
30412,Sedative
30413,Sedative
30420,Cocaine dependence
30421,Cocaine dependence
30422,Cocaine dependence
30423,Cocaine dependence
30430,Cannabis dependence
30431,Cannabis dependence
30432,Cannabis dependence
30433,Cannabis dependence
30440,Other stimulant dependence
30441,Other stimulant dependence
30442,Other stimulant dependence
30443,Other stimulant dependence
30450,Hallucinogen dependence
30451,Hallucinogen dependence
30452,Hallucinogen dependence
30453,Hallucinogen dependence
30460,Other psychoactive substance dependence
30461,Other psychoactive substance dependence
30462,Other psychoactive substance dependence
30463,Other psychoactive substance dependence
30470,Other psychoactive substance dependence
30471,Other psychoactive substance dependence
30472,Other psychoactive substance dependence
30473,Other psychoactive substance dependence
30480,Other psychoactive substance dependence
30481,Other psychoactive substance dependence
30482,Other psychoactive substance dependence
30483,Other psychoactive substance dependence
30490,Other psychoactive substance dependence
30491,Other psychoactive substance dependence
30492,Other psychoactive substance dependence
30493,Other psychoactive substance dependence
30500,Alcohol abuse
30501,Alcohol abuse
30502,Alcohol abuse
30503,Alcohol abuse
3051,Nicotine dependence
30520,Cannabis abuse
30521,Cannabis abuse
30522,Cannabis abuse
30523,Cannabis abuse
30530,Hallucinogen abuse
30531,Hallucinogen abuse
30532,Hallucinogen abuse
30533,Hallucinogen abuse
30540,Sedative
30541,Sedative
30542,Sedative
30543,Sedative
30550,Opioid abuse
30551,Opioid abuse
30552,Opioid abuse
30553,Opioid abuse
30560,Cocaine abuse
30561,Cocaine abuse
30562,Cocaine abuse
30563,Cocaine abuse
30570,Other stimulant abuse
30571,Other stimulant abuse
30572,Other stimulant abuse
30573,Other stimulant abuse
30580,Other psychoactive substance abuse
30581,Other psychoactive substance abuse
30582,Other psychoactive substance abuse
30583,Other psychoactive substance abuse
30590,Inhalant abuse
30591,Inhalant abuse
30592,Inhalant abuse
30593,Inhalant abuse
3060,Other somatoform disorders
3061,Other somatoform disorders
3062,Other somatoform disorders
3063,Other somatoform disorders
3064,Other somatoform disorders
30650,Other somatoform disorders
30651,Vaginismus not due to a substance or known physiological condition
30652,Other somatoform disorders
30653,Other somatoform disorders
30659,Other somatoform disorders
3066,Other somatoform disorders
3067,Other somatoform disorders
3068,Other somatoform disorders
3069,Somatoform disorder
3070,Adult onset fluency disorder
3071,Anorexia nervosa
30720,Tic disorder
30721,Transient tic disorder
30722,Chronic motor or vocal tic disorder
30723,Tourette's disorder
3073,Stereotyped movement disorders
30740,Sleep disorder not due to a substance or known physiological condition
30741,Adjustment insomnia
30742,Primary insomnia
30743,Other hypersomnia not due to a substance or known physiological condition
30744,Primary hypersomnia
30745,Other sleep disorders not due to a substance or known physiological condition
